name,hiragana_image
あ,hiragana_01_a.png
い,hiragana_02_i.png
う,hiragana_03_u.png
え,hiragana_04_e.png
お,hiragana_05_o.png
か,hiragana_11_ka.png
き,hiragana_12_ki.png
く,hiragana_13_ku.png
け,hiragana_14_ke.png
こ,hiragana_15_ko.png
が,hiragana_16_ga.png
ぎ,hiragana_17_gi.png
ぐ,hiragana_18_gu.png
げ,hiragana_19_ge.png
ご,hiragana_20_go.png
さ,hiragana_21_sa.png
し,hiragana_22_shi.png
す,hiragana_23_su.png
せ,hiragana_24_se.png
そ,hiragana_25_so.png
ざ,hiragana_26_za.png
じ,hiragana_27_zi.png
ず,hiragana_28_zu.png
ぜ,hiragana_29_ze.png
ぞ,hiragana_30_zo.png
た,hiragana_31_ta.png
ち,hiragana_32_ti.png
つ,hiragana_33_tsu.png
て,hiragana_34_te.png
と,hiragana_35_to.png
だ,hiragana_36_da.png
ぢ,hiragana_37_di.png
づ,hiragana_38_du.png
で,hiragana_39_de.png
ど,hiragana_40_do.png
な,hiragana_41_na.png
に,hiragana_42_ni.png
ぬ,hiragana_43_nu.png
ね,hiragana_44_ne.png
の,hiragana_45_no.png
は,hiragana_46_ha.png
ひ,hiragana_47_hi.png
ふ,hiragana_48_fu.png
へ,hiragana_49_he.png
ほ,hiragana_50_ho.png
ば,hiragana_51_ba.png
び,hiragana_52_bi.png
ぶ,hiragana_53_bu.png
べ,hiragana_54_be.png
ぼ,hiragana_55_bo.png
ぱ,hiragana_56_pa.png
ぴ,hiragana_57_pi.png
ぷ,hiragana_58_pu.png
ぺ,hiragana_59_pe.png
ぽ,hiragana_60_po.png
ま,hiragana_61_ma.png
み,hiragana_62_mi.png
む,hiragana_63_mu.png
め,hiragana_64_me.png
も,hiragana_65_mo.png
や,hiragana_66_ya.png
ゆ,hiragana_67_yu.png
よ,hiragana_68_yo.png
ら,hiragana_69_ra.png
り,hiragana_70_ri.png
る,hiragana_71_ru.png
れ,hiragana_72_re.png
ろ,hiragana_73_ro.png
わ,hiragana_74_wa.png
ん,hiragana_78_n.png
ゃ,hiragana_84_ya_small.png
ゅ,hiragana_85_yu_small.png
ょ,hiragana_86_yo_small.png
っ,hiragana_87_tsu_small.png
ー,hoka_06_yokobou.png
